,date,factor
0,2020-01-02,0.2857142857142857
1,2020-01-03,0.25
2,2020-01-06,0.0
3,2020-01-07,0.125
4,2020-01-08,0.1111111111111111
5,2020-01-09,0.14285714285714285
6,2020-01-10,0.0
7,2020-01-13,0.0
8,2020-01-14,0.0
9,2020-01-15,0.0
10,2020-01-16,0.0
11,2020-01-17,0.0
12,2020-01-20,0.0
13,2020-01-21,0.0
14,2020-01-22,0.0
15,2020-01-23,0.0
16,2020-02-03,0.0
17,2020-02-04,0.0
18,2020-02-05,0.0
19,2020-02-06,0.0
20,2020-02-07,0.0
21,2020-02-10,0.0
22,2020-02-11,0.0
23,2020-02-12,0.0
24,2020-02-13,0.0
25,2020-02-14,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-24,0.0
32,2020-02-25,0.0
33,2020-02-26,0.0
34,2020-02-27,0.0
35,2020-02-28,0.0
36,2020-03-02,0.0
37,2020-03-03,0.0
38,2020-03-04,0.0
39,2020-03-05,0.0
40,2020-03-06,0.0
41,2020-03-09,0.0
42,2020-03-10,0.0
43,2020-03-11,0.0
44,2020-03-12,0.0
45,2020-03-13,0.0
46,2020-03-16,0.0
47,2020-03-17,0.0
48,2020-03-18,0.0
49,2020-03-19,0.0
50,2020-03-20,0.0
51,2020-03-23,0.0
52,2020-03-24,0.0
53,2020-03-25,0.0
54,2020-03-26,0.0
55,2020-03-27,0.0
56,2020-03-30,0.0
57,2020-03-31,0.0
58,2020-04-01,0.0
59,2020-04-02,0.0
60,2020-04-03,0.0
61,2020-04-07,0.0
62,2020-04-08,0.0
63,2020-04-09,0.0
64,2020-04-10,0.0
65,2020-04-13,0.0
66,2020-04-14,0.0
67,2020-04-15,0.0
68,2020-04-16,0.0
69,2020-04-17,0.0
70,2020-04-20,0.0
71,2020-04-21,0.0
72,2020-04-22,0.0
73,2020-04-23,0.0
74,2020-04-24,0.0
75,2020-04-27,0.0
76,2020-04-28,0.0
77,2020-04-29,0.0
78,2020-04-30,0.0
79,2020-05-06,0.0
80,2020-05-07,0.0
81,2020-05-08,0.0
82,2020-05-11,0.0
83,2020-05-12,0.0
84,2020-05-13,0.0
85,2020-05-14,0.0
86,2020-05-15,0.0
87,2020-05-18,0.125
88,2020-05-19,0.0
89,2020-05-20,0.0
90,2020-05-21,0.0
91,2020-05-22,0.0
92,2020-05-25,0.0
93,2020-05-26,0.0
94,2020-05-27,0.0
95,2020-05-28,0.0
96,2020-05-29,0.0
97,2020-06-01,0.0
98,2020-06-02,0.0
99,2020-06-03,0.0
100,2020-06-04,0.0
101,2020-06-05,0.0
102,2020-06-08,0.0
103,2020-06-09,0.0
104,2020-06-10,0.0
105,2020-06-11,0.0
106,2020-06-12,0.0
107,2020-06-15,0.0
108,2020-06-16,0.125
109,2020-06-17,0.0
110,2020-06-18,0.0
111,2020-06-19,0.0
112,2020-06-22,0.0
113,2020-06-23,0.0
114,2020-06-24,0.0
115,2020-06-29,0.0
116,2020-06-30,0.0
117,2020-07-01,0.0
118,2020-07-02,0.0
119,2020-07-03,0.0
120,2020-07-06,0.0
121,2020-07-07,0.0
122,2020-07-08,0.1111111111111111
123,2020-07-09,0.0
124,2020-07-10,0.0
125,2020-07-13,0.0
126,2020-07-14,0.0
127,2020-07-15,0.0
128,2020-07-16,0.0
129,2020-07-17,0.0
130,2020-07-20,0.0
131,2020-07-21,0.0
132,2020-07-22,0.0
133,2020-07-23,0.0
134,2020-07-24,0.0
135,2020-07-27,0.0
136,2020-07-28,0.0
137,2020-07-29,0.0
138,2020-07-30,0.0
139,2020-07-31,0.0
140,2020-08-03,0.0
141,2020-08-04,0.0
142,2020-08-05,0.0
143,2020-08-06,0.0
144,2020-08-07,0.0
145,2020-08-10,0.0
146,2020-08-11,0.0
147,2020-08-12,0.0
148,2020-08-13,0.0
149,2020-08-14,0.0
150,2020-08-17,0.0
151,2020-08-18,0.0
152,2020-08-19,0.0
153,2020-08-20,0.0
154,2020-08-21,0.0
155,2020-08-24,0.0
156,2020-08-25,0.0
157,2020-08-26,0.0
158,2020-08-27,0.0
159,2020-08-28,0.0
160,2020-08-31,0.0
161,2020-09-01,0.0
162,2020-09-02,0.0
163,2020-09-03,0.0
164,2020-09-04,0.0
165,2020-09-07,0.0
166,2020-09-08,0.0
167,2020-09-09,0.0
168,2020-09-10,0.1111111111111111
169,2020-09-11,0.0
170,2020-09-14,0.0
171,2020-09-15,0.14285714285714285
172,2020-09-16,0.125
173,2020-09-17,0.0
174,2020-09-18,0.0
175,2020-09-21,0.0
176,2020-09-22,0.0
177,2020-09-23,0.2857142857142857
178,2020-09-24,0.0
179,2020-09-25,0.0
180,2020-09-28,0.0
181,2020-09-29,0.0
182,2020-09-30,0.2
183,2020-10-09,0.0
184,2020-10-12,0.0
185,2020-10-13,0.25
186,2020-10-14,0.16666666666666666
187,2020-10-15,0.0
188,2020-10-16,0.0
189,2020-10-19,0.2
190,2020-10-20,0.0
191,2020-10-21,0.0
192,2020-10-22,0.0
193,2020-10-23,0.4
194,2020-10-26,0.0
195,2020-10-27,0.25
196,2020-10-28,0.16666666666666666
