,date,factor
0,2020-01-31,51.1
1,2020-02-29,40.3
2,2020-03-31,50.1
3,2020-04-30,0.0
4,2020-05-31,50.7
5,2020-06-30,51.2
6,2020-07-31,52.8
7,2020-08-31,53.1
8,2020-09-30,53.0
9,2020-10-31,53.6
10,2020-11-30,0.0
11,2020-12-31,53.0
12,2021-01-31,51.5
13,2021-02-28,50.9
14,2021-03-31,50.6
15,2021-04-30,0.0
16,2021-05-31,
17,2021-06-30,
18,2021-07-31,
19,2021-08-31,
20,2021-09-30,
21,2021-10-31,
22,2021-11-30,
23,2021-12-31,
24,2022-01-31,
25,2022-02-28,
26,2022-03-31,
27,2022-04-30,
28,2022-05-31,
29,2022-06-30,
30,2022-07-31,50.4
31,2022-08-31,49.5
32,2022-09-30,48.1
33,2022-10-31,49.2
34,2022-11-30,49.4
35,2022-12-31,49.0
36,2023-01-31,49.2
37,2023-02-28,51.6
38,2023-03-31,50.0
39,2023-04-30,49.5
40,2023-05-31,50.9
41,2023-06-30,50.5
42,2023-07-31,49.2
